HOEP,toronto_temp,toronto_humidity,mississauga_temp,mississauga_humidity,brampton_temp,burlington_temp,burlington_humidity,thunderbay_temp,thunderbay_humidity,kingston_temp,kingston_humidity,london_temp,london_humidity,hamilton_temp,hamilton_humidity,Hour,Month,Day,DayOfWeek,IsWeekend,IsHoliday,BusinessHour
32.63,-5.6,58.0,-5.6,58.0,-5.6,-3.7,61.0,-16.7,50.0,1.6,58.0,-7.5,76.0,-5.5,70.0,18,2,1,3,0,0,0
12.71,19.8,87.0,19.8,87.0,19.8,21.6,92.0,13.2,95.0,18.5,100.0,19.4,100.0,20.0,100.0,4,7,3,2,0,0,0
37.8,21.4,90.0,21.4,90.0,21.4,22.4,93.0,11.9,100.0,22.0,97.0,21.1,96.0,21.2,100.0,7,8,7,1,0,0,0
26.8,14.4,65.0,14.4,65.0,14.4,14.9,64.0,4.2,96.0,11.2,89.0,11.4,69.0,12.4,68.0,7,6,8,3,0,0,0
0.0,0.6,83.0,0.6,83.0,0.6,2.7,73.0,-15.8,65.0,7.0,74.0,-1.2,88.0,0.2,89.0,20,11,9,3,0,0,0
32.87,-10.5,83.0,-10.5,83.0,-10.5,-4.9,57.0,-20.7,83.0,-10.9,65.0,-4.2,81.0,-6.6,64.0,8,1,18,1,0,0,1
5.09,9.3,85.0,9.3,85.0,9.3,10.7,83.0,2.6,70.0,12.3,74.0,8.5,93.0,7.7,97.0,1,10,2,4,0,0,0
14.35,-0.3,39.0,-0.3,39.0,-0.3,-1.9,67.0,-10.3,55.0,-4.5,49.0,-0.9,59.0,-2.2,70.0,12,3,20,1,0,0,1
-3.0,15.0,31.0,15.0,31.0,15.0,13.8,28.0,0.1,71.0,12.3,41.0,12.7,37.0,13.8,44.0,15,4,13,5,1,0,0
5.87,9.4,85.0,9.4,85.0,9.4,10.0,87.0,-1.3,98.0,5.7,99.0,7.6,98.0,7.1,96.0,4,10,22,3,0,0,0
26.45,16.6,95.0,16.6,95.0,16.6,17.9,91.0,12.2,80.0,19.0,87.0,14.5,98.0,15.7,99.0,6,8,26,5,1,0,0
1.23,1.6,93.0,1.6,93.0,1.6,2.9,82.0,-17.8,59.0,-0.4,93.0,1.3,86.0,1.8,84.0,2,1,28,5,1,0,0
2.8,21.3,72.0,21.3,72.0,21.3,22.3,73.0,12.9,91.0,19.2,99.0,18.5,98.0,20.9,82.0,0,6,24,5,1,0,0
24.9,25.0,38.0,25.0,38.0,25.0,19.1,76.0,23.0,72.0,25.4,41.0,26.2,45.0,25.1,50.0,17,8,1,3,0,0,1
106.53,28.1,65.0,28.1,65.0,28.1,25.0,92.0,22.5,68.0,27.0,79.0,28.9,70.0,29.1,62.0,11,7,10,4,0,0,1
10.15,14.4,42.0,14.4,42.0,14.4,11.9,62.0,14.6,44.0,11.5,63.0,9.3,70.0,11.6,61.0,0,5,7,5,1,0,0
6.45,1.7,87.0,1.7,87.0,1.7,3.3,89.0,1.6,100.0,-2.0,68.0,1.3,100.0,2.0,99.0,10,12,26,3,0,1,0
26.52,22.9,59.0,22.9,59.0,22.9,23.9,53.0,18.0,63.0,19.9,80.0,23.7,71.0,23.1,61.0,9,6,20,0,0,0,1
61.32,25.0,47.0,25.0,47.0,25.0,19.0,90.0,26.7,49.0,22.9,56.0,25.7,56.0,25.6,45.0,16,7,7,3,0,0,1
11.82,1.3,87.0,1.3,87.0,1.3,1.7,85.0,-6.9,100.0,-3.9,88.0,-0.9,97.0,-0.4,95.0,3,12,13,5,1,0,0
15.43,15.8,95.0,15.8,95.0,15.8,17.1,93.0,13.1,39.0,17.6,78.0,17.5,54.0,16.8,97.0,18,10,13,6,1,0,0
31.73,5.0,85.0,5.0,85.0,5.0,8.2,72.0,-2.8,98.0,6.8,85.0,4.4,80.0,4.7,92.0,8,10,26,5,1,0,0
10.21,2.1,88.0,2.1,88.0,2.1,3.2,81.0,-6.2,86.0,1.3,100.0,1.4,85.0,1.8,92.0,5,2,21,3,0,0,0
5.86,11.3,58.0,11.3,58.0,11.3,5.2,82.0,2.2,100.0,12.5,58.0,14.0,66.0,6.2,84.0,19,4,7,6,1,0,0
0.0,14.1,29.0,14.1,29.0,14.1,11.5,42.0,-2.6,72.0,10.2,54.0,8.3,65.0,8.6,65.0,14,4,15,4,0,1,0
14.37,11.3,100.0,11.3,100.0,11.3,14.0,92.0,8.4,91.0,9.9,73.0,17.5,72.0,14.8,97.0,16,4,27,5,1,0,0
13.32,-13.1,72.0,-13.1,72.0,-13.1,-12.0,64.0,-26.1,56.0,-12.8,65.0,-15.0,70.0,-16.6,69.0,1,2,8,0,0,0,0
29.14,3.7,100.0,3.7,100.0,3.7,4.4,88.0,-1.8,93.0,5.2,90.0,2.0,96.0,2.3,98.0,7,5,3,2,0,0,0
13.5,0.4,73.0,0.4,73.0,0.4,0.4,78.0,0.6,74.0,-1.2,75.0,-0.8,68.0,-2.4,74.0,2,2,27,5,1,0,0
14.33,2.6,60.0,2.6,60.0,2.6,4.2,59.0,-7.6,97.0,-0.4,90.0,1.8,73.0,2.5,70.0,8,4,14,6,1,0,0
3.03,6.5,74.0,6.5,74.0,6.5,7.5,66.0,0.4,98.0,7.1,94.0,5.5,80.0,5.3,76.0,23,10,29,6,1,0,0
15.4,17.0,56.0,17.0,56.0,17.0,11.6,87.0,10.1,96.0,14.4,76.0,17.4,61.0,17.4,57.0,10,6,1,6,1,0,0
-4.18,13.9,40.0,13.9,40.0,13.9,13.1,63.0,8.1,89.0,8.7,83.0,10.4,54.0,10.5,57.0,1,6,7,6,1,0,0
37.57,9.1,67.0,9.1,67.0,9.1,12.8,52.0,10.2,73.0,8.0,74.0,8.6,62.0,8.6,67.0,20,10,24,3,0,0,0
46.77,-9.1,77.0,-9.1,77.0,-9.1,-6.7,67.0,-2.6,78.0,-10.6,73.0,-7.1,77.0,-7.5,74.0,11,1,14,5,1,0,0
0.0,11.6,48.0,11.6,48.0,11.6,14.0,45.0,8.2,53.0,9.9,54.0,11.3,51.0,12.4,45.0,3,5,14,6,1,0,0
34.44,-0.3,65.0,-0.3,65.0,-0.3,2.8,56.0,-5.3,93.0,-4.3,69.0,-0.8,70.0,-1.0,69.0,22,11,19,6,1,0,0
13.69,1.3,78.0,1.3,78.0,1.3,3.9,65.0,-0.2,93.0,-0.6,72.0,0.5,87.0,0.7,78.0,6,11,29,1,0,0,0
41.47,5.9,43.0,5.9,43.0,5.9,4.7,69.0,-1.2,76.0,2.8,52.0,2.8,71.0,2.8,86.0,12,11,19,4,0,0,1
14.35,5.3,96.0,5.3,96.0,5.3,6.8,80.0,3.7,94.0,7.6,96.0,7.3,73.0,6.0,88.0,12,10,26,1,0,0,1
42.28,1.7,51.0,1.7,51.0,1.7,4.1,52.0,0.6,52.0,0.3,75.0,0.8,60.0,1.8,69.0,21,11,1,2,0,0,0
58.11,5.5,81.0,5.5,81.0,5.5,6.9,69.0,2.8,57.0,4.7,91.0,3.8,88.0,4.2,79.0,20,10,18,1,0,0,0
0.0,11.1,39.0,11.1,39.0,11.1,6.4,66.0,6.6,64.0,7.0,57.0,11.7,28.0,11.4,36.0,14,4,6,0,0,0,1
15.64,10.0,81.0,10.0,81.0,10.0,10.4,85.0,8.1,94.0,5.2,94.0,7.7,88.0,8.2,93.0,1,10,24,1,0,0,0
27.18,-9.6,75.0,-9.6,75.0,-9.6,-7.9,81.0,-26.6,83.0,-10.1,67.0,-9.3,84.0,-9.4,89.0,5,2,18,0,0,1,0
51.41,26.1,78.0,26.1,78.0,26.1,26.1,77.0,19.7,79.0,23.0,93.0,24.5,85.0,24.6,88.0,12,8,17,4,0,0,1
56.28,27.1,68.0,27.1,68.0,27.1,25.5,89.0,19.3,79.0,26.6,78.0,27.4,76.0,27.6,71.0,10,7,10,4,0,0,1
83.74,26.5,43.0,26.5,43.0,26.5,25.9,45.0,28.8,37.0,25.0,58.0,24.4,54.0,25.9,50.0,18,7,30,5,1,0,0
23.38,17.2,56.0,17.2,56.0,17.2,14.0,68.0,8.3,89.0,12.5,82.0,17.6,67.0,17.2,69.0,17,11,3,1,0,0,1
22.82,5.2,100.0,5.2,100.0,5.2,3.6,99.0,2.2,84.0,3.8,100.0,-0.4,95.0,2.7,100.0,6,3,3,6,1,0,0
17.6,24.4,87.0,24.4,87.0,24.4,19.9,93.0,12.3,93.0,21.8,89.0,24.6,84.0,25.6,82.0,15,7,12,2,0,0,1
26.01,6.5,94.0,6.5,94.0,6.5,4.1,99.0,1.0,93.0,3.7,99.0,7.6,96.0,4.8,100.0,11,12,26,1,0,1,0
0.0,13.1,65.0,13.1,65.0,13.1,13.4,67.0,6.5,91.0,9.9,93.0,7.9,88.0,7.7,85.0,0,11,8,6,1,0,0
28.97,20.7,100.0,20.7,100.0,20.7,22.4,79.0,12.3,56.0,23.1,72.0,18.1,83.0,20.5,100.0,16,9,6,4,0,0,1
3.32,7.7,55.0,7.7,55.0,7.7,9.7,54.0,7.8,59.0,4.2,75.0,3.6,77.0,5.5,64.0,0,9,19,5,1,0,0
14.5,19.8,70.0,19.8,70.0,19.8,20.6,77.0,15.0,98.0,22.2,83.0,15.8,96.0,16.8,88.0,6,8,3,2,0,0,0
0.39,0.0,69.0,0.0,69.0,0.0,0.8,65.0,1.2,87.0,-2.5,79.0,-0.2,75.0,-0.6,73.0,9,1,30,5,1,0,0
14.36,-2.9,65.0,-2.9,65.0,-2.9,-1.6,56.0,-17.9,69.0,-5.7,58.0,-3.0,63.0,-4.6,69.0,4,12,15,1,0,0,0
31.58,25.7,72.0,25.7,72.0,25.7,25.4,73.0,19.1,73.0,24.9,85.0,24.2,85.0,25.2,84.0,10,7,19,6,1,0,0
-2.69,17.5,83.0,17.5,83.0,17.5,18.6,68.0,11.7,98.0,16.6,84.0,16.5,91.0,16.4,85.0,8,7,10,6,1,0,0
48.83,5.1,51.0,5.1,51.0,5.1,5.0,58.0,-5.3,56.0,5.7,46.0,4.1,58.0,3.7,60.0,14,12,5,0,0,0,1
19.69,2.1,52.0,2.1,52.0,2.1,1.4,48.0,-1.1,67.0,1.2,55.0,0.4,58.0,0.2,57.0,15,3,21,4,0,0,1
17.18,2.5,74.0,2.5,74.0,2.5,2.8,75.0,-0.5,100.0,3.1,79.0,-0.9,95.0,-0.6,89.0,21,12,19,2,0,0,0
15.18,-1.6,72.0,-1.6,72.0,-1.6,-1.4,68.0,-14.8,64.0,0.2,71.0,-3.5,85.0,-2.9,75.0,13,1,15,2,0,0,1
40.24,6.8,77.0,6.8,77.0,6.8,5.8,83.0,1.4,90.0,8.7,68.0,8.0,78.0,6.3,78.0,12,12,12,5,1,0,0
31.84,0.1,70.0,0.1,70.0,0.1,1.5,72.0,-3.5,79.0,-1.4,92.0,-0.8,80.0,-0.4,79.0,0,1,22,6,1,0,0
34.05,5.7,54.0,5.7,54.0,5.7,7.1,52.0,-0.5,63.0,7.4,82.0,4.9,68.0,6.0,61.0,14,11,18,3,0,0,1
54.37,19.9,75.0,19.9,75.0,19.9,22.0,64.0,17.2,90.0,18.2,95.0,16.6,97.0,17.6,99.0,1,8,14,2,0,0,0
30.28,27.0,39.0,27.0,39.0,27.0,25.5,39.0,20.9,53.0,28.2,33.0,22.2,52.0,24.7,42.0,18,7,17,1,0,0,0
14.4,16.6,70.0,16.6,70.0,16.6,7.3,85.0,1.0,75.0,11.1,69.0,16.1,64.0,21.0,73.0,11,4,25,0,0,0,1
4.59,4.6,38.0,4.6,38.0,4.6,4.4,33.0,2.1,36.0,3.5,47.0,2.6,48.0,3.4,42.0,12,4,17,4,0,0,1
48.83,-4.5,74.0,-4.5,74.0,-4.5,-3.5,69.0,0.0,79.0,-13.4,78.0,-6.6,78.0,-6.9,80.0,8,2,1,1,0,0,1
5.33,25.8,42.0,25.8,42.0,25.8,24.8,45.0,16.4,54.0,20.3,86.0,22.4,55.0,23.6,48.0,16,9,25,2,0,0,1
12.33,3.7,81.0,3.7,81.0,3.7,7.4,82.0,2.2,66.0,6.8,96.0,3.6,97.0,3.5,98.0,9,10,3,5,1,0,0
30.25,-3.4,90.0,-3.4,90.0,-3.4,-2.9,73.0,-15.5,69.0,-0.7,96.0,-5.2,86.0,-5.3,80.0,3,3,14,1,0,0,0
19.67,-4.8,68.0,-4.8,68.0,-4.8,-2.9,69.0,-26.2,69.0,-4.1,90.0,-5.7,66.0,-5.3,81.0,7,12,18,2,0,0,0
8.98,13.0,52.0,13.0,52.0,13.0,9.0,74.0,5.7,92.0,16.2,48.0,16.2,66.0,10.6,73.0,21,5,22,2,0,0,0
18.06,7.9,58.0,7.9,58.0,7.9,8.4,65.0,2.2,85.0,7.3,95.0,6.8,73.0,7.0,73.0,18,10,29,6,1,0,0
44.99,26.5,48.0,26.5,48.0,26.5,21.5,83.0,18.1,94.0,26.4,43.0,29.7,40.0,25.8,57.0,15,9,22,4,0,0,1
110.78,33.8,38.0,33.8,38.0,33.8,32.2,47.0,17.6,91.0,28.8,67.0,28.4,67.0,30.2,66.0,19,7,19,1,0,0,0
8.36,14.9,44.0,14.9,44.0,14.9,17.3,42.0,12.2,42.0,17.3,63.0,14.2,44.0,14.4,49.0,20,10,19,3,0,0,0
21.69,16.3,93.0,16.3,93.0,16.3,17.8,82.0,19.4,86.0,12.8,98.0,12.7,85.0,15.1,89.0,8,8,28,6,1,0,0
49.24,28.1,51.0,28.1,51.0,28.1,27.8,50.0,26.4,45.0,23.5,82.0,27.1,49.0,26.7,57.0,18,8,3,3,0,0,0
7.8,23.2,34.0,23.2,34.0,23.2,18.1,62.0,19.3,66.0,21.4,38.0,19.3,53.0,18.0,65.0,23,6,16,3,0,0,0
5.75,-1.5,66.0,-1.5,66.0,-1.5,1.8,65.0,-1.3,98.0,-1.1,86.0,-2.3,83.0,-2.4,79.0,4,4,18,0,0,0,0
0.0,12.9,68.0,12.9,68.0,12.9,16.0,68.0,2.0,100.0,11.0,70.0,13.2,75.0,14.0,75.0,8,9,8,5,1,0,0
21.18,2.6,52.0,2.6,52.0,2.6,3.2,59.0,-11.5,41.0,4.2,75.0,0.4,61.0,2.0,54.0,15,2,21,1,0,0,1
-10.0,4.1,78.0,4.1,78.0,4.1,7.3,72.0,7.5,95.0,-1.1,73.0,4.2,78.0,4.4,81.0,3,11,17,1,0,0,0
38.69,1.2,82.0,1.2,82.0,1.2,1.7,93.0,-12.9,80.0,-1.7,76.0,0.8,96.0,0.5,99.0,10,12,29,2,0,0,1
20.15,-6.8,40.0,-6.8,40.0,-6.8,-5.0,51.0,-1.1,94.0,-15.1,80.0,-7.3,65.0,-8.0,58.0,23,11,22,3,0,0,0
54.15,15.5,48.0,15.5,48.0,15.5,13.1,65.0,9.6,76.0,12.7,45.0,15.9,60.0,14.6,57.0,18,10,27,2,0,0,0
31.61,2.1,94.0,2.1,94.0,2.1,3.1,93.0,2.4,78.0,1.9,67.0,4.0,80.0,1.7,97.0,16,11,18,0,0,0,1
43.2,5.0,100.0,5.0,100.0,5.0,6.5,88.0,1.0,95.0,0.1,96.0,3.4,94.0,5.0,85.0,3,10,30,6,1,0,0
135.92,-17.4,63.0,-17.4,63.0,-17.4,-15.3,62.0,-20.2,58.0,-13.3,68.0,-18.9,71.0,-17.0,67.0,16,1,7,1,0,0,1
19.12,26.8,53.0,26.8,53.0,26.8,26.5,41.0,20.7,74.0,21.6,90.0,24.1,61.0,22.0,59.0,22,7,6,3,0,0,0
38.31,5.1,68.0,5.1,68.0,5.1,3.7,91.0,-4.4,84.0,4.0,60.0,4.9,74.0,3.7,76.0,15,12,20,3,0,0,1
3.36,21.5,79.0,21.5,79.0,21.5,21.8,81.0,20.3,56.0,23.6,57.0,22.0,78.0,21.4,94.0,12,8,8,3,0,0,1
21.75,-9.1,78.0,-9.1,78.0,-9.1,-6.5,73.0,-9.8,86.0,-12.7,76.0,-9.0,84.0,-10.4,85.0,5,3,1,6,1,0,0
36.74,24.3,59.0,24.3,59.0,24.3,17.8,88.0,20.2,58.0,22.8,66.0,25.0,57.0,21.7,74.0,12,6,21,2,0,0,1
15.1,-2.8,72.0,-2.8,72.0,-2.8,0.2,73.0,-10.6,89.0,-7.2,77.0,-2.8,81.0,-4.0,84.0,4,12,5,4,0,0,0
40.26,22.3,85.0,22.3,85.0,22.3,23.8,76.0,12.8,80.0,23.2,98.0,20.7,82.0,21.9,85.0,21,8,1,2,0,0,0
36.93,24.2,65.0,24.2,65.0,24.2,25.9,59.0,26.3,49.0,23.4,65.0,24.4,68.0,26.0,59.0,17,7,14,4,0,0,1
37.89,21.7,38.0,21.7,38.0,21.7,22.5,33.0,16.0,59.0,18.4,64.0,20.5,51.0,20.9,43.0,18,10,12,0,0,1,0
19.17,2.9,88.0,2.9,88.0,2.9,3.9,78.0,1.5,91.0,-0.1,88.0,1.2,87.0,2.3,86.0,23,11,26,5,1,0,0
11.59,20.3,34.0,20.3,34.0,20.3,15.6,68.0,21.7,41.0,21.6,30.0,19.0,42.0,18.9,41.0,20,6,10,6,1,0,0
30.49,-2.8,70.0,-2.8,70.0,-2.8,0.1,66.0,0.7,95.0,-3.6,67.0,-1.5,77.0,-2.4,78.0,7,11,8,2,0,0,0
51.03,7.2,69.0,7.2,69.0,7.2,6.8,88.0,13.7,50.0,7.9,46.0,9.4,63.0,5.7,85.0,19,10,28,4,0,0,0
26.84,-15.1,83.0,-15.1,83.0,-15.1,-13.1,86.0,-28.3,75.0,-17.8,79.0,-14.2,82.0,-15.0,81.0,5,2,2,0,0,0,0
66.85,27.1,31.0,27.1,31.0,27.1,24.0,45.0,22.7,63.0,20.3,86.0,26.8,40.0,26.4,31.0,15,6,24,4,0,0,1
29.25,20.6,69.0,20.6,69.0,20.6,21.2,84.0,14.7,84.0,21.0,86.0,17.6,91.0,18.7,89.0,0,8,26,5,1,0,0
12.6,5.8,42.0,5.8,42.0,5.8,4.3,81.0,4.3,43.0,3.9,31.0,4.3,63.0,3.7,74.0,19,3,18,3,0,0,0
6.15,18.0,70.0,18.0,70.0,18.0,19.3,71.0,12.2,64.0,15.8,94.0,18.0,77.0,17.6,84.0,23,6,5,4,0,0,0
3.77,12.7,90.0,12.7,90.0,12.7,14.7,88.0,4.9,77.0,10.4,87.0,15.6,91.0,13.2,97.0,19,10,7,6,1,0,0
28.4,18.0,70.0,18.0,70.0,18.0,18.4,67.0,14.8,79.0,18.0,75.0,16.9,83.0,17.6,76.0,10,9,1,3,0,0,1
13.55,-6.7,47.0,-6.7,47.0,-6.7,-4.8,45.0,-10.5,84.0,-5.4,38.0,-7.3,66.0,-6.7,49.0,10,4,5,1,0,0,1
3.47,1.1,100.0,1.1,100.0,1.1,1.3,94.0,0.4,93.0,-9.8,88.0,1.0,99.0,0.2,95.0,5,1,17,1,0,0,0
40.03,23.2,60.0,23.2,60.0,23.2,21.0,72.0,17.0,74.0,22.9,52.0,23.2,58.0,23.8,62.0,14,7,19,2,0,0,1
24.06,-12.2,75.0,-12.2,75.0,-12.2,-9.3,70.0,-21.0,70.0,-18.8,83.0,-19.6,78.0,-14.3,86.0,6,2,13,1,0,0,0
-4.25,11.9,78.0,11.9,78.0,11.9,15.4,69.0,10.0,95.0,12.2,98.0,12.5,90.0,12.4,88.0,2,6,27,1,0,0,0
4.63,7.8,89.0,7.8,89.0,7.8,5.4,95.0,-3.2,76.0,6.9,98.0,11.9,65.0,8.9,88.0,17,12,2,6,1,0,0
7.91,15.2,81.0,15.2,81.0,15.2,15.2,85.0,21.0,69.0,15.0,88.0,11.9,95.0,12.0,96.0,7,7,3,5,1,0,0
6.1,24.5,62.0,24.5,62.0,24.5,24.2,66.0,19.4,58.0,22.3,92.0,24.9,75.0,23.7,74.0,13,7,7,4,0,0,1
27.4,-6.0,59.0,-6.0,59.0,-6.0,-2.8,44.0,-0.6,82.0,-6.0,54.0,-7.0,80.0,-5.7,57.0,21,3,7,6,1,0,0
81.72,23.6,55.0,23.6,55.0,23.6,20.8,74.0,22.0,62.0,21.6,66.0,24.8,42.0,25.3,58.0,20,7,7,3,0,0,0
2.92,19.1,50.0,19.1,50.0,19.1,18.3,54.0,12.8,95.0,14.0,74.0,15.8,64.0,15.7,66.0,2,6,17,4,0,0,0
28.18,-8.6,59.0,-8.6,59.0,-8.6,-7.8,60.0,-17.2,67.0,-8.0,87.0,-10.5,74.0,-10.5,64.0,16,1,6,1,0,0,1
31.98,7.9,100.0,7.9,100.0,7.9,8.6,93.0,2.8,95.0,6.6,75.0,6.3,97.0,7.7,100.0,8,11,20,2,0,0,1
35.56,4.3,85.0,4.3,85.0,4.3,6.7,93.0,-6.3,60.0,3.2,88.0,3.3,97.0,5.0,100.0,19,2,15,3,0,0,0
65.78,28.9,46.0,28.9,46.0,28.9,28.6,46.0,31.0,29.0,21.6,87.0,26.4,59.0,27.5,52.0,19,6,28,3,0,0,0
0.0,22.2,86.0,22.2,86.0,22.2,22.3,86.0,17.6,100.0,19.9,100.0,19.2,97.0,19.7,99.0,5,7,29,0,0,0,0
-1.26,14.1,33.0,14.1,33.0,14.1,11.8,51.0,9.8,52.0,12.9,38.0,13.1,44.0,12.0,43.0,0,5,19,5,1,0,0
33.64,20.2,62.0,20.2,62.0,20.2,18.6,62.0,12.0,89.0,19.2,65.0,18.9,70.0,18.7,71.0,12,9,17,6,1,0,0
1.58,20.9,85.0,20.9,85.0,20.9,22.5,75.0,5.9,98.0,20.6,100.0,17.6,81.0,20.3,83.0,6,9,4,2,0,0,0
16.13,18.0,57.0,18.0,57.0,18.0,15.9,64.0,10.3,82.0,17.9,53.0,16.9,64.0,17.9,57.0,1,5,13,5,1,0,0
14.35,22.3,71.0,22.3,71.0,22.3,21.2,78.0,17.8,70.0,22.0,81.0,20.0,82.0,21.1,83.0,11,8,12,5,1,0,0
32.14,4.6,65.0,4.6,65.0,4.6,5.7,62.0,-3.1,62.0,5.8,84.0,3.6,68.0,3.5,71.0,16,12,10,6,1,0,0
20.84,18.4,79.0,18.4,79.0,18.4,20.0,81.0,11.0,97.0,15.5,88.0,15.4,94.0,16.0,96.0,5,8,5,5,1,0,0
14.33,-12.0,52.0,-12.0,52.0,-12.0,-11.4,54.0,-15.1,55.0,-11.4,44.0,-12.2,56.0,-12.7,50.0,16,2,26,2,0,0,1
5.94,-0.4,68.0,-0.4,68.0,-0.4,1.6,73.0,-10.4,70.0,-0.8,69.0,-0.9,82.0,-1.5,90.0,8,3,31,5,1,0,0
5.92,9.7,77.0,9.7,77.0,9.7,10.3,74.0,-2.4,100.0,7.2,89.0,8.1,90.0,7.9,89.0,10,10,9,6,1,0,0
6.46,0.5,82.0,0.5,82.0,0.5,1.7,78.0,-11.2,61.0,1.0,97.0,-1.4,92.0,0.1,86.0,3,3,27,4,0,0,0
3.18,7.8,71.0,7.8,71.0,7.8,9.3,67.0,7.5,100.0,1.4,87.0,8.4,81.0,5.8,83.0,21,10,28,4,0,0,0
13.36,6.6,86.0,6.6,86.0,6.6,7.6,83.0,-14.1,60.0,8.0,88.0,3.6,84.0,5.3,88.0,11,12,3,5,1,0,0
30.93,17.6,89.0,17.6,89.0,17.6,17.0,94.0,14.7,98.0,20.9,68.0,17.2,98.0,17.3,93.0,21,8,23,2,0,0,0
33.56,9.3,45.0,9.3,45.0,9.3,8.5,72.0,-4.4,63.0,3.6,84.0,8.3,91.0,8.8,80.0,0,4,4,1,0,0,0
17.15,-4.6,81.0,-4.6,81.0,-4.6,-1.4,69.0,-7.9,94.0,-10.0,79.0,-5.7,90.0,-4.0,79.0,4,3,5,5,1,0,0
41.29,26.5,53.0,26.5,53.0,26.5,25.3,77.0,18.8,54.0,24.6,84.0,24.2,81.0,22.9,88.0,21,8,21,5,1,0,0
25.69,-4.3,86.0,-4.3,86.0,-4.3,-4.1,90.0,-21.8,83.0,-4.7,75.0,-3.0,92.0,-4.5,93.0,7,12,27,4,0,0,0
